Customer ID,Age,Gender,Item Purchased,Purchase Amount (AUD),Review Rating,Payment Method,Previous Purchases,Flavour
1,55,Male,Gatorade No Sugar,4.8,3.1,Credit Card,14,Tropical
2,19,Male,G Active-No Sugar,7.8,3.1,Bank Transfer,2,Grape
3,50,Male,G Active-No Sugar,7.8,3.1,Cash,23,Orange
4,21,Male,Gatorade Sports Drink,3.8,3.5,PayPal,49,Orange
5,45,Male,Gatorade Powder,14.8,2.7,Cash,31,Blue Bolt
6,46,Male,Gatorade No Sugar,4.8,2.9,Venmo,14,Berry
7,63,Male,Gatorade Powder,14.8,3.2,Debit Card,49,Blue Bolt
8,27,Male,Gatorade Sports Drink,3.8,3.2,Debit Card,19,Orange
9,26,Male,Gatorade No Sugar,4.8,2.6,Venmo,8,Lemon-Lime
10,57,Male,G Active-No Sugar,7.8,4.8,PayPal,4,Lemon-Lime
11,53,Male,Gatorade Sports Drink,3.8,4.1,Credit Card,26,Grape
12,30,Male,G Active-No Sugar,7.8,4.9,PayPal,10,Tropical
13,61,Male,Gatorade Sports Drink,3.8,4.5,PayPal,37,Lemon-Lime
14,65,Male,G Active-No Sugar,7.8,4.7,Debit Card,31,Lemon-Lime
15,64,Male,Gatorade Powder,14.8,4.7,PayPal,34,Orange
16,64,Male,Gatorade No Sugar,4.8,2.8,Credit Card,8,Lemon-Lime
17,25,Male,Gatorade No Sugar,4.8,4.1,Venmo,44,Blue Bolt
18,53,Male,G Active-No Sugar,7.8,4.7,Debit Card,36,Tropical
19,52,Male,G Active-No Sugar,7.8,4.6,Bank Transfer,17,Berry
20,66,Male,Gatorade No Sugar,4.8,3.3,Venmo,46,Blue Bolt
21,21,Male,Gatorade Powder,14.8,2.8,Credit Card,50,Berry
22,31,Male,G Active-No Sugar,7.8,4.1,Credit Card,22,Lemon-Lime
23,56,Male,Gatorade Sports Drink,3.8,3.2,Cash,32,Grape
24,31,Male,Gatorade No Sugar,4.8,4.4,Credit Card,40,Tropical
25,18,Male,Gatorade Powder,14.8,2.9,Cash,16,Lemon-Lime
26,18,Male,Gatorade Sports Drink,3.8,3.6,Bank Transfer,14,Berry
27,38,Male,Gatorade No Sugar,4.8,3.6,Cash,13,Lemon-Lime
28,56,Male,Gatorade No Sugar,4.8,5,Debit Card,7,Lemon-Lime
